Sample	Time	Stress	Replica	MORE
T1-C-1	T1	C	1	T1_C_1
T1-C-2	T1	C	2	T1_C_2
T1-C-3	T1	C	3	T1_C_3
T1-D-1	T1	D	1	T1_D_1
T1-D-2	T1	D	2	T1_D_2
T1-D-3	T1	D	3	T1_D_3
T1-MON-1	T1	MON	1	T1_MON_1
T1-MON-2	T1	MON	2	T1_MON_2
T1-MON-3	T1	MON	3	T1_MON_3
T1-NT-1	T1	NT	1	T1_NT_1
T1-NT-2	T1	NT	2	T1_NT_2
T1-NT-3	T1	NT	3	T1_NT_3
T1-SD-1	T1	SD	1	T1_SD_1
T1-SD-2	T1	SD	2	T1_SD_2
T1-SD-3	T1	SD	3	T1_SD_3
T2-C-1	T2	C	1	T2_C_1
T2-C-2	T2	C	2	T2_C_2
T2-C-3	T2	C	3	T2_C_3
T2-D-1	T2	D	1	T2_D_1
T2-D-2	T2	D	2	T2_D_2
T2-D-3	T2	D	3	T2_D_3
T2-MON-1	T2	MON	1	T2_MON_1
T2-MON-2	T2	MON	2	T2_MON_2
T2-MON-3	T2	MON	3	T2_MON_3
T2-NT-1	T2	NT	1	T2_NT_1
T2-NT-2	T2	NT	2	T2_NT_2
T2-NT-3	T2	NT	3	T2_NT_3
T2-SD-1	T2	SD	1	T2_SD_1
T2-SD-2	T2	SD	2	T2_SD_2
T2-SD-3	T2	SD	3	T2_SD_3
T3-C-1	T3	C	1	T3_C_1
T3-C-2	T3	C	2	T3_C_2
T3-D-1	T3	D	1	T3_D_1
T3-D-2	T3	D	2	T3_D_2
T3-D-3	T3	D	3	T3_D_3
T3-MON-1	T3	MON	1	T3_MON_1
T3-MON-2	T3	MON	2	T3_MON_2
T3-MON-3	T3	MON	3	T3_MON_3
T3-NT-1	T3	NT	1	T3_NT_1
T3-NT-2	T3	NT	2	T3_NT_2
T3-NT-3	T3	NT	3	T3_NT_3
T3-SD-1	T3	SD	1	T3_SD_1
T3-SD-2	T3	SD	2	T3_SD_2
T3-SD-3	T3	SD	3	T3_SD_3
