Sample	Condition	Time	Replica	Group	Batch	MORE
RNAT1C37	cold	1	1	cold_1	1	T1_C_1_Sample
RNAT1C38	cold	1	2	cold_1	1	T1_C_2_Sample
RNAT1C39	cold	1	3	cold_1	1	T1_C_3_Sample
RNAT1D10	drought	1	1	drought_1	1	T1_D_1_Sample
RNAT1D11	drought	1	2	drought_1	1	T1_D_2_Sample
RNAT1D12	drought	1	3	drought_1	1	T1_D_3_Sample
RNAT1MON28	monosporascus	1	1	monosporascus_1	1	T1_MON_1_Sample
RNAT1MON29	monosporascus	1	2	monosporascus_1	1	T1_MON_2_Sample
RNAT1MON30	monosporascus	1	3	monosporascus_1	1	T1_MON_3_Sample
RNAT1NT1	control	1	1	control_1	1	T1_NT_1_Sample
RNAT1NT2	control	1	2	control_1	1	T1_NT_2_Sample
RNAT1NT3	control	1	3	control_1	1	T1_NT_3_Sample
RNAT1SD19	shortday	1	1	shortday_1	1	T1_SD_1_Sample
RNAT1SD20	shortday	1	2	shortday_1	1	T1_SD_2_Sample
RNAT1SD21	shortday	1	3	shortday_1	1	T1_SD_3_Sample
RNAT2C40	cold	2	1	cold_2	1	T2_C_1_Sample
RNAT2C41	cold	2	2	cold_2	1	T2_C_2_Sample
RNAT2C42	cold	2	3	cold_2	1	T2_C_3_Sample
RNAT2D13	drought	2	1	drought_2	1	T2_D_1_Sample
RNAT2D14	drought	2	2	drought_2	1	T2_D_2_Sample
RNAT2D15	drought	2	3	drought_2	1	T2_D_3_Sample
RNAT2MON31	monosporascus	2	1	monosporascus_2	1	T2_MON_1_Sample
RNAT2MON32	monosporascus	2	2	monosporascus_2	1	T2_MON_2_Sample
RNAT2MON33	monosporascus	2	3	monosporascus_2	1	T2_MON_3_Sample
RNAT2NT4	control	2	1	control_2	1	T2_NT_1_Sample
RNAT2NT5	control	2	2	control_2	1	T2_NT_2_Sample
RNAT2NT6	control	2	3	control_2	1	T2_NT_3_Sample
RNAT2SD22	shortday	2	1	shortday_2	1	T2_SD_1_Sample
RNAT2SD23	shortday	2	2	shortday_2	1	T2_SD_2_Sample
RNAT2SD24	shortday	2	3	shortday_2	1	T2_SD_3_Sample
RNAT3D16	drought	3	1	drought_3	1	T3_D_1_Sample
RNAT3D17	drought	3	2	drought_3	1	T3_D_2_Sample
RNAT3D18	drought	3	3	drought_3	1	T3_D_3_Sample
RNAT3MON34	monosporascus	3	1	monosporascus_3	1	T3_MON_1_Sample
RNAT3MON35	monosporascus	3	2	monosporascus_3	1	T3_MON_2_Sample
RNAT3MON36	monosporascus	3	3	monosporascus_3	1	T3_MON_3_Sample
RNAT3NT7	control	3	1	control_3	1	T3_NT_1_Sample
RNAT3NT8	control	3	2	control_3	1	T3_NT_2_Sample
RNAT3NT9	control	3	3	control_3	1	T3_NT_3_Sample
RNAT3SD25	shortday	3	1	shortday_3	1	T3_SD_1_Sample
RNAT3SD26	shortday	3	2	shortday_3	1	T3_SD_2_Sample
RNAT3SD27	shortday	3	3	shortday_3	1	T3_SD_3_Sample
RNAT3C1	cold	3	1	cold_3	2	T3_C_1_Sample
RNAT3C2	cold	3	2	cold_3	2	T3_C_2_Sample
RNAT3C3	cold	3	3	cold_3	2	T3_C_3_Sample
RNAT4NT1	control	3	1	control_3	2	T3_NT2_1_Sample
RNAT4NT2	control	3	2	control_3	2	T3_NT2_2_Sample
RNAT4NT3	control	3	3	control_3	2	T3_NT2_3_Sample
