MELO3C021732.1	MELO3C021732
MELO3C011355.1	MELO3C011355
MELO3C009164.1	MELO3C009164
MELO3C010241.1	MELO3C010241
MELO3C023163.1	MELO3C023163
MELO3C013401.1	MELO3C013401
MELO3C008847.1	MELO3C008847
MELO3C005687.1	MELO3C005687
MELO3C022846.1	MELO3C022846
MELO3C014515.1	MELO3C014515
MELO3C019541.1	MELO3C019541
MELO3C016381.1	MELO3C016381
MELO3C031494.1	MELO3C031494
MELO3C015629.1	MELO3C015629
MELO3C017495.1	MELO3C017495
MELO3C030607.1	MELO3C030607
MELO3C012469.1	MELO3C012469
MELO3C028986.1	MELO3C028986
MELO3C030380.1	MELO3C030380
MELO3C008050.1	MELO3C008050
MELO3C033540.1	MELO3C033540
MELO3C005640.1	MELO3C005640
MELO3C035768.1	MELO3C035768
MELO3C007733.1	MELO3C007733
MELO3C033105.1	MELO3C033105
MELO3C026893.1	MELO3C026893
MELO3C019588.1	MELO3C019588
MELO3C010288.1	MELO3C010288
MELO3C021070.1	MELO3C021070
MELO3C004003.1	MELO3C004003
MELO3C020753.1	MELO3C020753
MELO3C019676.1	MELO3C019676
MELO3C009914.1	MELO3C009914
MELO3C024230.1	MELO3C024230
MELO3C008185.1	MELO3C008185
MELO3C024939.1	MELO3C024939
MELO3C025256.1	MELO3C025256
MELO3C021779.1	MELO3C021779
MELO3C002045.1	MELO3C002045
MELO3C005205.1	MELO3C005205
MELO3C008097.1	MELO3C008097
MELO3C013536.1	MELO3C013536
MELO3C032473.1	MELO3C032473
MELO3C004573.1	MELO3C004573
MELO3C002480.1	MELO3C002480
MELO3C028416.1	MELO3C028416
MELO3C035721.1	MELO3C035721
MELO3C025691.1	MELO3C025691
MELO3C026323.1	MELO3C026323
MELO3C032038.1	MELO3C032038
MELO3C020318.1	MELO3C020318
MELO3C006666.1	MELO3C006666
MELO3C013971.1	MELO3C013971
MELO3C000526.1	MELO3C000526
MELO3C005775.1	MELO3C005775
MELO3C033452.1	MELO3C033452
MELO3C032126.1	MELO3C032126
MELO3C028898.1	MELO3C028898
MELO3C004661.1	MELO3C004661
MELO3C021820.1	MELO3C021820
MELO3C034566.1	MELO3C034566
MELO3C027960.1	MELO3C027960
MELO3C021209.1	MELO3C021209
MELO3C033675.1	MELO3C033675
MELO3C016034.1	MELO3C016034
MELO3C026411.1	MELO3C026411
MELO3C028504.1	MELO3C028504
MELO3C031582.1	MELO3C031582
MELO3C027349.1	MELO3C027349
MELO3C030519.1	MELO3C030519
MELO3C017360.1	MELO3C017360
MELO3C019453.1	MELO3C019453
MELO3C028851.1	MELO3C028851
MELO3C011220.1	MELO3C011220
MELO3C022184.1	MELO3C022184
MELO3C013313.1	MELO3C013313
MELO3C020091.1	MELO3C020091
MELO3C017013.1	MELO3C017013
MELO3C005599.1	MELO3C005599
MELO3C022711.1	MELO3C022711
MELO3C024804.1	MELO3C024804
MELO3C029830.1	MELO3C029830
MELO3C029618.1	MELO3C029618
MELO3C018562.1	MELO3C018562
MELO3C035545.1	MELO3C035545
MELO3C001940.1	MELO3C001940
MELO3C030033.1	MELO3C030033
MELO3C006754.1	MELO3C006754
MELO3C016608.1	MELO3C016608
MELO3C007071.1	MELO3C007071
MELO3C021867.1	MELO3C021867
MELO3C027302.1	MELO3C027302
MELO3C012422.1	MELO3C012422
MELO3C013624.1	MELO3C013624
MELO3C006319.1	MELO3C006319
MELO3C014950.1	MELO3C014950
MELO3C007645.1	MELO3C007645
MELO3C033017.1	MELO3C033017
MELO3C002133.1	MELO3C002133
MELO3C004226.1	MELO3C004226
MELO3C015717.1	MELO3C015717
MELO3C013795.1	MELO3C013795
MELO3C010903.1	MELO3C010903
MELO3C023386.1	MELO3C023386
MELO3C008273.1	MELO3C008273
MELO3C025479.1	MELO3C025479
MELO3C008800.1	MELO3C008800
MELO3C019764.1	MELO3C019764
MELO3C034877.1	MELO3C034877
MELO3C005552.1	MELO3C005552
MELO3C029706.1	MELO3C029706
MELO3C032214.1	MELO3C032214
MELO3C007510.1	MELO3C007510
MELO3C020007.1	MELO3C020007
MELO3C030168.1	MELO3C030168
MELO3C015841.1	MELO3C015841
MELO3C035194.1	MELO3C035194
MELO3C029080.1	MELO3C029080
MELO3C000087.1	MELO3C000087
MELO3C010815.1	MELO3C010815
MELO3C034080.1	MELO3C034080
MELO3C010464.1	MELO3C010464
MELO3C015055.1	MELO3C015055
MELO3C020442.1	MELO3C020442
MELO3C025033.1	MELO3C025033
MELO3C011179.1	MELO3C011179
MELO3C009340.1	MELO3C009340
MELO3C030954.1	MELO3C030954
MELO3C005464.1	MELO3C005464
MELO3C034431.1	MELO3C034431
MELO3C006008.1	MELO3C006008
MELO3C021556.1	MELO3C021556
MELO3C015406.1	MELO3C015406
MELO3C004314.1	MELO3C004314
MELO3C035410.1	MELO3C035410
MELO3C015091.1	MELO3C015091
MELO3C020577.1	MELO3C020577
MELO3C034830.1	MELO3C034830
MELO3C016919.1	MELO3C016919
MELO3C010599.1	MELO3C010599
MELO3C015490.1	MELO3C015490
MELO3C029044.1	MELO3C029044
MELO3C003770.1	MELO3C003770
MELO3C003283.1	MELO3C003283
MELO3C031147.1	MELO3C031147
MELO3C031235.1	MELO3C031235
MELO3C007956.1	MELO3C007956
MELO3C006930.1	MELO3C006930
MELO3C014076.1	MELO3C014076
MELO3C025168.1	MELO3C025168
MELO3C003682.1	MELO3C003682
MELO3C020841.1	MELO3C020841
MELO3C022272.1	MELO3C022272
MELO3C003909.1	MELO3C003909
MELO3C014204.1	MELO3C014204
MELO3C023602.1	MELO3C023602
MELO3C016122.1	MELO3C016122
MELO3C016293.1	MELO3C016293
MELO3C029877.1	MELO3C029877
MELO3C018251.1	MELO3C018251
MELO3C033364.1	MELO3C033364
MELO3C012246.1	MELO3C012246
MELO3C025520.1	MELO3C025520
MELO3C006531.1	MELO3C006531
MELO3C012645.1	MELO3C012645
MELO3C007294.1	MELO3C007294
MELO3C002619.1	MELO3C002619
MELO3C003247.1	MELO3C003247
MELO3C031670.1	MELO3C031670
MELO3C016692.1	MELO3C016692
MELO3C018303.1	MELO3C018303
MELO3C029219.1	MELO3C029219
MELO3C023474.1	MELO3C023474
MELO3C006092.1	MELO3C006092
MELO3C031809.1	MELO3C031809
MELO3C014427.1	MELO3C014427
MELO3C024189.1	MELO3C024189
MELO3C011443.1	MELO3C011443
MELO3C016867.1	MELO3C016867
MELO3C009076.1	MELO3C009076
MELO3C003112.1	MELO3C003112
MELO3C021421.1	MELO3C021421
MELO3C032959.1	MELO3C032959
MELO3C026235.1	MELO3C026235
MELO3C016257.1	MELO3C016257
MELO3C004262.1	MELO3C004262
MELO3C013883.1	MELO3C013883
MELO3C032162.1	MELO3C032162
MELO3C009299.1	MELO3C009299
MELO3C033851.1	MELO3C033851
MELO3C018697.1	MELO3C018697
MELO3C013712.1	MELO3C013712
MELO3C034789.1	MELO3C034789
MELO3C031012.1	MELO3C031012
MELO3C031183.1	MELO3C031183
MELO3C005516.1	MELO3C005516
MELO3C027701.1	MELO3C027701
MELO3C011008.1	MELO3C011008
MELO3C028639.1	MELO3C028639
MELO3C000215.1	MELO3C000215
MELO3C023825.1	MELO3C023825
MELO3C012023.1	MELO3C012023
MELO3C029654.1	MELO3C029654
MELO3C015278.1	MELO3C015278
MELO3C033587.1	MELO3C033587
MELO3C018474.1	MELO3C018474
MELO3C017846.1	MELO3C017846
MELO3C035633.1	MELO3C035633
MELO3C027437.1	MELO3C027437
MELO3C017101.1	MELO3C017101
MELO3C018039.1	MELO3C018039
MELO3C033416.1	MELO3C033416
MELO3C024018.1	MELO3C024018
MELO3C005951.1	MELO3C005951
MELO3C002268.1	MELO3C002268
MELO3C028065.1	MELO3C028065
MELO3C019899.1	MELO3C019899
MELO3C023251.1	MELO3C023251
MELO3C013225.1	MELO3C013225
MELO3C017272.1	MELO3C017272
MELO3C015231.1	MELO3C015231
MELO3C031710.1	MELO3C031710
MELO3C011754.1	MELO3C011754
MELO3C001377.1	MELO3C001377
MELO3C013185.1	MELO3C013185
MELO3C023996.1	MELO3C023996
MELO3C003423.1	MELO3C003423
MELO3C033141.1	MELO3C033141
MELO3C034690.1	MELO3C034690
MELO3C019939.1	MELO3C019939
MELO3C012868.1	MELO3C012868
MELO3C017894.1	MELO3C017894
MELO3C021333.1	MELO3C021333
MELO3C031893.1	MELO3C031893
MELO3C010205.1	MELO3C010205
MELO3C023562.1	MELO3C023562
MELO3C013002.1	MELO3C013002
MELO3C002743.1	MELO3C002743
MELO3C025607.1	MELO3C025607
MELO3C009128.1	MELO3C009128
MELO3C016209.1	MELO3C016209
MELO3C022013.1	MELO3C022013
MELO3C006220.1	MELO3C006220
MELO3C016780.1	MELO3C016780
MELO3C035369.1	MELO3C035369
MELO3C006790.1	MELO3C006790
MELO3C001764.1	MELO3C001764
MELO3C022882.1	MELO3C022882
MELO3C014164.1	MELO3C014164
MELO3C030643.1	MELO3C030643
MELO3C010687.1	MELO3C010687
MELO3C002444.1	MELO3C002444
MELO3C032872.1	MELO3C032872
MELO3C013572.1	MELO3C013572
MELO3C022312.1	MELO3C022312
MELO3C002356.1	MELO3C002356
MELO3C008496.1	MELO3C008496
MELO3C005241.1	MELO3C005241
MELO3C020354.1	MELO3C020354
MELO3C032074.1	MELO3C032074
MELO3C007469.1	MELO3C007469
MELO3C025292.1	MELO3C025292
MELO3C032960.1	MELO3C032960
MELO3C025655.1	MELO3C025655
MELO3C034120.1	MELO3C034120
MELO3C022400.1	MELO3C022400
MELO3C000398.1	MELO3C000398
MELO3C009515.1	MELO3C009515
MELO3C028017.1	MELO3C028017
MELO3C015530.1	MELO3C015530
MELO3C021608.1	MELO3C021608
MELO3C002081.1	MELO3C002081
MELO3C030344.1	MELO3C030344
MELO3C004402.1	MELO3C004402
MELO3C013800.1	MELO3C013800
MELO3C034391.1	MELO3C034391
MELO3C026634.1	MELO3C026634
MELO3C025308.1	MELO3C025308
MELO3C012593.1	MELO3C012593
MELO3C020928.1	MELO3C020928
MELO3C011842.1	MELO3C011842
MELO3C022970.1	MELO3C022970
MELO3C004449.1	MELO3C004449
MELO3C023650.1	MELO3C023650
MELO3C018913.1	MELO3C018913
MELO3C024588.1	MELO3C024588
MELO3C015143.1	MELO3C015143
MELO3C006491.1	MELO3C006491
MELO3C032302.1	MELO3C032302
MELO3C014463.1	MELO3C014463
MELO3C018298.1	MELO3C018298
MELO3C004086.1	MELO3C004086
MELO3C005815.1	MELO3C005815
MELO3C032349.1	MELO3C032349
MELO3C023861.1	MELO3C023861
MELO3C030256.1	MELO3C030256
MELO3C025954.1	MELO3C025954
MELO3C003722.1	MELO3C003722
MELO3C028675.1	MELO3C028675
MELO3C018873.1	MELO3C018873
MELO3C024628.1	MELO3C024628
MELO3C031411.1	MELO3C031411
MELO3C009475.1	MELO3C009475
MELO3C007382.1	MELO3C007382
MELO3C024975.1	MELO3C024975
MELO3C003335.1	MELO3C003335
MELO3C023649.1	MELO3C023649
MELO3C009862.1	MELO3C009862
MELO3C015577.1	MELO3C015577
MELO3C019277.1	MELO3C019277
MELO3C014826.1	MELO3C014826
MELO3C013484.1	MELO3C013484
MELO3C008149.1	MELO3C008149
MELO3C029789.1	MELO3C029789
MELO3C017547.1	MELO3C017547
MELO3C021991.1	MELO3C021991
MELO3C017236.1	MELO3C017236
MELO3C024541.1	MELO3C024541
MELO3C034706.1	MELO3C034706
MELO3C014252.1	MELO3C014252
MELO3C029355.1	MELO3C029355
MELO3C017934.1	MELO3C017934
MELO3C033986.1	MELO3C033986
MELO3C003195.1	MELO3C003195
MELO3C022495.1	MELO3C022495
MELO3C010863.1	MELO3C010863
MELO3C001676.1	MELO3C001676
MELO3C029929.1	MELO3C029929
MELO3C015888.1	MELO3C015888
MELO3C018602.1	MELO3C018602
MELO3C003769.1	MELO3C003769
MELO3C028364.1	MELO3C028364
MELO3C026271.1	MELO3C026271
MELO3C022224.1	MELO3C022224
MELO3C007111.1	MELO3C007111
MELO3C031622.1	MELO3C031622
MELO3C003993.1	MELO3C003993
MELO3C002831.1	MELO3C002831
MELO3C034478.1	MELO3C034478
MELO3C009774.1	MELO3C009774
MELO3C016169.1	MELO3C016169
MELO3C018215.1	MELO3C018215
MELO3C033727.1	MELO3C033727
MELO3C015019.1	MELO3C015019
MELO3C012908.1	MELO3C012908
MELO3C028376.1	MELO3C028376
MELO3C033328.1	MELO3C033328
MELO3C006578.1	MELO3C006578
MELO3C016556.1	MELO3C016556
MELO3C027297.1	MELO3C027297
MELO3C006977.1	MELO3C006977
MELO3C007557.1	MELO3C007557
MELO3C006806.1	MELO3C006806
MELO3C026933.1	MELO3C026933
MELO3C016955.1	MELO3C016955
MELO3C015805.1	MELO3C015805
MELO3C026546.1	MELO3C026546
MELO3C016568.1	MELO3C016568
MELO3C005428.1	MELO3C005428
MELO3C005827.1	MELO3C005827
MELO3C021919.1	MELO3C021919
MELO3C006407.1	MELO3C006407
MELO3C000039.1	MELO3C000039
MELO3C027696.1	MELO3C027696
MELO3C032648.1	MELO3C032648
MELO3C007158.1	MELO3C007158
MELO3C033898.1	MELO3C033898
MELO3C034032.1	MELO3C034032
MELO3C007258.1	MELO3C007258
MELO3C035058.1	MELO3C035058
MELO3C027613.1	MELO3C027613
MELO3C027126.1	MELO3C027126
MELO3C008795.1	MELO3C008795
MELO3C021907.1	MELO3C021907
MELO3C027912.1	MELO3C027912
MELO3C033499.1	MELO3C033499
MELO3C018785.1	MELO3C018785
MELO3C029343.1	MELO3C029343
MELO3C009387.1	MELO3C009387
MELO3C004748.1	MELO3C004748
MELO3C029742.1	MELO3C029742
MELO3C018386.1	MELO3C018386
MELO3C025866.1	MELO3C025866
MELO3C035158.1	MELO3C035158
MELO3C011180.1	MELO3C011180
MELO3C012609.1	MELO3C012609
MELO3C027784.1	MELO3C027784
MELO3C035457.1	MELO3C035457
MELO3C009216.1	MELO3C009216
MELO3C018614.1	MELO3C018614
MELO3C006132.1	MELO3C006132
MELO3C012992.1	MELO3C012992
MELO3C034965.1	MELO3C034965
MELO3C021245.1	MELO3C021245
MELO3C018514.1	MELO3C018514
MELO3C010117.1	MELO3C010117
MELO3C031981.1	MELO3C031981
MELO3C025121.1	MELO3C025121
MELO3C011080.1	MELO3C011080
MELO3C019852.1	MELO3C019852
MELO3C009874.1	MELO3C009874
MELO3C015976.1	MELO3C015976
MELO3C005998.1	MELO3C005998
MELO3C008895.1	MELO3C008895
MELO3C017148.1	MELO3C017148
MELO3C030918.1	MELO3C030918
MELO3C024229.1	MELO3C024229
MELO3C008137.1	MELO3C008137
MELO3C033627.1	MELO3C033627
MELO3C027397.1	MELO3C027397
MELO3C020266.1	MELO3C020266
MELO3C010775.1	MELO3C010775
MELO3C034307.1	MELO3C034307
MELO3C015589.1	MELO3C015589
MELO3C012334.1	MELO3C012334
MELO3C011929.1	MELO3C011929
MELO3C003594.1	MELO3C003594
MELO3C009603.1	MELO3C009603
MELO3C001206.1	MELO3C001206
MELO3C007470.1	MELO3C007470
MELO3C032748.1	MELO3C032748
MELO3C022583.1	MELO3C022583
MELO3C016210.1	MELO3C016210
MELO3C005727.1	MELO3C005727
MELO3C015489.1	MELO3C015489
MELO3C019365.1	MELO3C019365
MELO3C024887.1	MELO3C024887
MELO3C031323.1	MELO3C031323
MELO3C005153.1	MELO3C005153
MELO3C017635.1	MELO3C017635
MELO3C014551.1	MELO3C014551
MELO3C024716.1	MELO3C024716
MELO3C013759.1	MELO3C013759
MELO3C010504.1	MELO3C010504
MELO3C028763.1	MELO3C028763
MELO3C028803.1	MELO3C028803
MELO3C015266.1	MELO3C015266
MELO3C014949.1	MELO3C014949
MELO3C006618.1	MELO3C006618
MELO3C005253.1	MELO3C005253
MELO3C029120.1	MELO3C029120
MELO3C017061.1	MELO3C017061
MELO3C023597.1	MELO3C023597
MELO3C008049.1	MELO3C008049
MELO3C022483.1	MELO3C022483
MELO3C014152.1	MELO3C014152
MELO3C009598.1	MELO3C009598
MELO3C012470.1	MELO3C012470
MELO3C010604.1	MELO3C010604
MELO3C017858.1	MELO3C017858
MELO3C016744.1	MELO3C016744
MELO3C008413.1	MELO3C008413
MELO3C013584.1	MELO3C013584
MELO3C008484.1	MELO3C008484
MELO3C030379.1	MELO3C030379
MELO3C033153.1	MELO3C033153
MELO3C014128.1	MELO3C014128
MELO3C017882.1	MELO3C017882
MELO3C001230.1	MELO3C001230
MELO3C023526.1	MELO3C023526
MELO3C022412.1	MELO3C022412
MELO3C009527.1	MELO3C009527
MELO3C013014.1	MELO3C013014
MELO3C007370.1	MELO3C007370
MELO3C013835.1	MELO3C013835
MELO3C032860.1	MELO3C032860
MELO3C001365.1	MELO3C001365
MELO3C032174.1	MELO3C032174
MELO3C018175.1	MELO3C018175
MELO3C016333.1	MELO3C016333
MELO3C024664.1	MELO3C024664
MELO3C029531.1	MELO3C029531
MELO3C028053.1	MELO3C028053
MELO3C004274.1	MELO3C004274
MELO3C009116.1	MELO3C009116
MELO3C018040.1	MELO3C018040
MELO3C003072.1	MELO3C003072
