Time	Stress	DE_type	Count
T1	cold	Infra-expresado	3
T1	cold	Sobre-expresado	160
T1	monosporascus	Sobre-expresado	7
T1	shortday	Infra-expresado	65
T1	shortday	Sobre-expresado	2
T2	cold	Infra-expresado	1
T2	cold	Sobre-expresado	152
T2	drought	Sobre-expresado	2
T2	monosporascus	Infra-expresado	4
T2	monosporascus	Sobre-expresado	18
T2	shortday	Infra-expresado	8
T2	shortday	Sobre-expresado	6
T3	cold	Infra-expresado	259
T3	cold	Sobre-expresado	55
T3	drought	Infra-expresado	42
T3	drought	Sobre-expresado	24
T3	monosporascus	Infra-expresado	11
T3	shortday	Infra-expresado	8
T3	shortday	Sobre-expresado	3
