Time	Stress	DE_type	Count
T1	cold	Infra-expresado	1227
T1	cold	Sobre-expresado	1150
T1	drought	Infra-expresado	7
T1	monosporascus	Infra-expresado	33
T1	monosporascus	Sobre-expresado	146
T1	shortday	Infra-expresado	7
T2	cold	Infra-expresado	1142
T2	cold	Sobre-expresado	843
T2	monosporascus	Infra-expresado	58
T2	monosporascus	Sobre-expresado	167
T2	shortday	Infra-expresado	40
T2	shortday	Sobre-expresado	131
T3	cold	Infra-expresado	3266
T3	cold	Sobre-expresado	2929
T3	drought	Infra-expresado	878
T3	drought	Sobre-expresado	703
T3	monosporascus	Infra-expresado	108
T3	monosporascus	Sobre-expresado	51
T3	shortday	Infra-expresado	432
T3	shortday	Sobre-expresado	565
