Sample,Condition,Time,Group
sRNA_T1_C_1_RNAcentral_filtered_abs,cold,1,cold_1
sRNA_T1_C_2_RNAcentral_filtered_abs,cold,1,cold_1
sRNA_T1_C_3_RNAcentral_filtered_abs,cold,1,cold_1
sRNA_T1_D_1_RNAcentral_filtered_abs,drought,1,drought_1
sRNA_T1_D_2_RNAcentral_filtered_abs,drought,1,drought_1
sRNA_T1_D_3_RNAcentral_filtered_abs,drought,1,drought_1
sRNA_T1_MON_1_RNAcentral_filtered_abs,monosporascus,1,monosporascus_1
sRNA_T1_MON_2_RNAcentral_filtered_abs,monosporascus,1,monosporascus_1
sRNA_T1_MON_3_RNAcentral_filtered_abs,monosporascus,1,monosporascus_1
sRNA_T1_NT_1_RNAcentral_filtered_abs,control,1,control_1
sRNA_T1_NT_2_RNAcentral_filtered_abs,control,1,control_1
sRNA_T1_NT_3_RNAcentral_filtered_abs,control,1,control_1
sRNA_T1_SD_1_RNAcentral_filtered_abs,shortday,1,shortday_1
sRNA_T1_SD_2_RNAcentral_filtered_abs,shortday,1,shortday_1
sRNA_T1_SD_3_RNAcentral_filtered_abs,shortday,1,shortday_1
sRNA_T2_C_1_RNAcentral_filtered_abs,cold,2,cold_2
sRNA_T2_C_2_RNAcentral_filtered_abs,cold,2,cold_2
sRNA_T2_C_3_RNAcentral_filtered_abs,cold,2,cold_2
sRNA_T2_D_1_RNAcentral_filtered_abs,drought,2,drought_2
sRNA_T2_D_2_RNAcentral_filtered_abs,drought,2,drought_2
sRNA_T2_D_3_RNAcentral_filtered_abs,drought,2,drought_2
sRNA_T2_MON_1_RNAcentral_filtered_abs,monosporascus,2,monosporascus_2
sRNA_T2_MON_2_RNAcentral_filtered_abs,monosporascus,2,monosporascus_2
sRNA_T2_MON_3_RNAcentral_filtered_abs,monosporascus,2,monosporascus_2
sRNA_T2_NT_1_RNAcentral_filtered_abs,control,2,control_2
sRNA_T2_NT_2_RNAcentral_filtered_abs,control,2,control_2
sRNA_T2_NT_3_RNAcentral_filtered_abs,control,2,control_2
sRNA_T2_SD_1_RNAcentral_filtered_abs,shortday,2,shortday_2
sRNA_T2_SD_2_RNAcentral_filtered_abs,shortday,2,shortday_2
sRNA_T2_SD_3_RNAcentral_filtered_abs,shortday,2,shortday_2
sRNA_T3_C_1_RNAcentral_filtered_abs,cold,3,cold_3
sRNA_T3_C_2_RNAcentral_filtered_abs,cold,3,cold_3
sRNA_T3_C_3_RNAcentral_filtered_abs,cold,3,cold_3
sRNA_T3_D_1_RNAcentral_filtered_abs,drought,3,drought_3
sRNA_T3_D_2_RNAcentral_filtered_abs,drought,3,drought_3
sRNA_T3_D_3_RNAcentral_filtered_abs,drought,3,drought_3
sRNA_T3_MON_1_RNAcentral_filtered_abs,monosporascus,3,monosporascus_3
sRNA_T3_MON_2_RNAcentral_filtered_abs,monosporascus,3,monosporascus_3
sRNA_T3_MON_3_RNAcentral_filtered_abs,monosporascus,3,monosporascus_3
sRNA_T3_NT_1_RNAcentral_filtered_abs,control,3,control_3
sRNA_T3_NT_2_RNAcentral_filtered_abs,control,3,control_3
sRNA_T3_NT_3_RNAcentral_filtered_abs,control,3,control_3
sRNA_T3_NT_4_RNAcentral_filtered_abs,control,3,control_3
sRNA_T3_SD_1_RNAcentral_filtered_abs,shortday,3,shortday_3
sRNA_T3_SD_2_RNAcentral_filtered_abs,shortday,3,shortday_3
sRNA_T3_SD_3_RNAcentral_filtered_abs,shortday,3,shortday_3
