,aau,Acacia auriculiformis,Angiosperm,Dicotyledon
,amg,Acacia mangium,Angiosperm,Dicotyledon
acch,ach,Actinidia chinensis,Angiosperm,Dicotyledon
aeta,ata,Aegilops tauschii,Angiosperm,Monocotyledon
agsq,asq,Agriophyllum squarrosum,Angiosperm,Dicotyledon
agmo,amn,Agropyron mongolicum,Angiosperm,Monocotyledon
amhy,amh,Amaranthus hypochondriacus,Angiosperm,Dicotyledon
amtr,atr,Amborella trichopoda,Angiosperm,Dicotyledon
amna,ana,Ammopiptanthus nanus,Angiosperm,Dicotyledon
anco,aco,Ananas comosus,Angiosperm,Monocotyledon
,amj,Antirrhinum majus,Angiosperm,Dicotyledon
,aqc,Aquilegia caerulea,Angiosperm,Dicotyledon
,aha,Arabidopsis halleri,Angiosperm,Dicotyledon
arly,aly,Arabidopsis lyrata,Angiosperm,Dicotyledon
arth,ath,Arabidopsis thaliana,Angiosperm,Dicotyledon
ardu,adu,Arachis duranensis,Angiosperm,Dicotyledon
,ahy,Arachis hypogaea,Angiosperm,Dicotyledon
arip,aip,Arachis ipaensis,Angiosperm,Dicotyledon
armo,amo,Arachis monticola,Angiosperm,Dicotyledon
asof,aof,Asparagus officinalis,Angiosperm,Monocotyledon
,ama,Avicennia marina,Angiosperm,Dicotyledon
azfi,afi,Azolla filiculoides,Others,Others
bevu,bvu,Beta vulgaris,Angiosperm,Dicotyledon
bepe,bpe,Betula pendula,Angiosperm,Dicotyledon
boni,bnv,Boehmeria nivea,Angiosperm,Dicotyledon
brdi,bdi,Brachypodium distachyon,Angiosperm,Monocotyledon
brju,bju,Brassica juncea,Angiosperm,Dicotyledon
brna,bna,Brassica napus,Angiosperm,Dicotyledon
brni,bni,Brassica nigra,Angiosperm,Dicotyledon
brol,bol,Brassica oleracea,Angiosperm,Dicotyledon
brra,bra,Brassica rapa,Angiosperm,Dicotyledon
,bcy,Bruguiera cylindrica,Angiosperm,Dicotyledon
,bgy,Bruguiera gymnorhiza,Angiosperm,Dicotyledon
,ccj,Cajanus cajan,Angiosperm,Dicotyledon
casa,cas,Camelina sativa,Angiosperm,Dicotyledon
casi,csn,Camellia sinensis,Angiosperm,Dicotyledon
caru,cru,Capsella rubella,Angiosperm,Dicotyledon
caan,can,Capsicum annuum,Angiosperm,Dicotyledon
capa,cpa,Carica papaya,Angiosperm,Dicotyledon
,cti,Carthamus tinctorius,Angiosperm,Dicotyledon
caro,cro,Catharanthus roseus,Angiosperm,Dicotyledon
ceam,cam,Cenchrus americanus,Angiosperm,Monocotyledon
cepo,cfo,Cephalotus follicularis,Angiosperm,Dicotyledon
chqu,cqu,Chenopodium quinoa,Angiosperm,Dicotyledon
chre,cre,Chlamydomonas reinhardtii,Others,Others
