"gene_ath"	"gene"	"description"	"microRNA"
"AT1G02660.1"	"MELO3C015936"	"Lipase_3 domain-containing protein"	"miR393"
"AT1G02860.1"	"MELO3C016008"	"RING-type E3 ubiquitin transferase"	"miR827"
"AT1G06180.1"	"MELO3C015731"	"MYB-like transcription factor ODO1"	"miR858"
"AT1G08830.1"	"MELO3C015374"	"Superoxide dismutase [Cu-Zn]"	"miR398"
"AT1G10700.1"	"MELO3C011962"	"ribose-phosphate pyrophosphokinase 4-like"	"miR391"
"AT1G12820.1"	"MELO3C014799"	"protein AUXIN SIGNALING F-BOX 2-like"	"miR393"
"AT1G27340.1"	"MELO3C022422"	"F-box domain-containing protein"	"miR394"
"AT1G30210.1"	"MELO3C002754"	"Transcription factor TCP2-like"	"miR319"
"AT1G30210.1"	"MELO3C002754"	"Transcription factor TCP2-like"	"miR319"
"AT1G30210.1"	"MELO3C007121"	"Transcription factor TCP2-like"	"miR319"
"AT1G30210.1"	"MELO3C007121"	"Transcription factor TCP2-like"	"miR319"
"AT1G30490.1"	"MELO3C007078"	"Homeobox-leucine zipper protein"	"miR166"
"AT1G30490.1"	"MELO3C007078"	"Homeobox-leucine zipper protein"	"miR165"
"AT1G33140.1"	"MELO3C005844"	"60S ribosomal protein L9"	"miR5630"
"AT1G33140.1"	"MELO3C024850"	"60S ribosomal protein L9-like"	"miR5630"
"AT1G53230.1"	"MELO3C016092"	"Transcription factor TCP4"	"miR319"
"AT1G53230.1"	"MELO3C016092"	"Transcription factor TCP4"	"miR319"
"AT1G53290.1"	"MELO3C025633"	"Hexosyltransferase"	"miR775"
"AT1G56010.2"	"MELO3C010555"	"NAC domain-containing protein"	"miR164"
"AT1G56010.2"	"MELO3C010555"	"NAC domain-containing protein"	"miR164"
"AT1G66230.1"	"MELO3C000507"	"Myb transcription factor"	"miR858"
"AT1G69170.1"	"MELO3C017245"	"Squamosa promoter-binding-like protein 6"	"miR156"
"AT1G69170.1"	"MELO3C017245"	"Squamosa promoter-binding-like protein 6"	"miR156"
"AT1G69170.1"	"MELO3C017245"	"Squamosa promoter-binding-like protein 6"	"miR156"
"AT1G69170.1"	"MELO3C017245"	"Squamosa promoter-binding-like protein 6"	"miR156"
"AT1G69170.1"	"MELO3C017245"	"Squamosa promoter-binding-like protein 6"	"miR157"
"AT1G69170.1"	"MELO3C017245"	"Squamosa promoter-binding-like protein 6"	"miR156"
"AT1G69170.1"	"MELO3C002048"	"squamosa promoter-binding-like protein 6"	"miR156"
"AT1G69170.1"	"MELO3C002048"	"squamosa promoter-binding-like protein 6"	"miR156"
"AT1G69170.1"	"MELO3C002048"	"squamosa promoter-binding-like protein 6"	"miR156"
"AT1G69170.1"	"MELO3C002048"	"squamosa promoter-binding-like protein 6"	"miR156"
"AT1G69170.1"	"MELO3C002048"	"squamosa promoter-binding-like protein 6"	"miR157"
"AT1G69170.1"	"MELO3C002048"	"squamosa promoter-binding-like protein 6"	"miR156"
"AT1G69770.1"	"MELO3C015649"	"Cytosine-specific methyltransferase"	"miR823"
"AT2G02850.1"	"MELO3C019486"	"basic blue protein-like"	"miR408"
"AT2G02850.1"	"MELO3C027302"	"basic blue protein-like"	"miR408"
"AT2G02850.1"	"MELO3C008424"	"Basic blue protein-like"	"miR408"
"AT2G03220.1"	"MELO3C012118"	"Fucosyltransferase"	"miR158"
"AT2G03220.1"	"MELO3C012118"	"Fucosyltransferase"	"miR158"
"AT2G17900.1"	"MELO3C003048"	"histone-lysine N-methyltransferase ASHR1"	"miR8166"
"AT2G22740.1"	"MELO3C013901"	"Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH6-like"	"miR778"
"AT2G22840.1"	"MELO3C007656"	"Growth-regulating factor"	"miR396"
"AT2G22840.1"	"MELO3C007656"	"Growth-regulating factor"	"miR396"
"AT2G28350.1"	"MELO3C025777"	"Auxin response factor"	"miR160"
"AT2G28550.3"	"MELO3C025726"	"ethylene-responsive transcription factor RAP2-7 isoform X1"	"miR172"
"AT2G28550.3"	"MELO3C025726"	"ethylene-responsive transcription factor RAP2-7 isoform X1"	"miR172"
"AT2G28550.3"	"MELO3C025726"	"ethylene-responsive transcription factor RAP2-7 isoform X1"	"miR172"
"AT2G29710.1"	"MELO3C026364"	"Glycosyltransferase"	"miR777"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G33770.1"	"MELO3C007283"	"UBC core domain-containing protein"	"miR399"
"AT2G34710.1"	"MELO3C007078"	"Homeobox-leucine zipper protein"	"miR166"
"AT2G34710.1"	"MELO3C007078"	"Homeobox-leucine zipper protein"	"miR165"
"AT2G36400.1"	"MELO3C009444"	"Growth-regulating factor"	"miR396"
"AT2G36400.1"	"MELO3C009444"	"Growth-regulating factor"	"miR396"
"AT2G38080.1"	"MELO3C009189"	"Laccase"	"miR397"
"AT2G38080.1"	"MELO3C009189"	"Laccase"	"miR397"
"AT2G38080.1"	"MELO3C003228"	"Laccase"	"miR397"
"AT2G38080.1"	"MELO3C003228"	"Laccase"	"miR397"
"AT2G38080.1"	"MELO3C020569"	"Laccase"	"miR397"
"AT2G38080.1"	"MELO3C020569"	"Laccase"	"miR397"
"AT2G38080.1"	"MELO3C008274"	"Laccase"	"miR397"
"AT2G38080.1"	"MELO3C008274"	"Laccase"	"miR397"
"AT2G39250.1"	"MELO3C011722"	"ethylene-responsive transcription factor RAP2-7"	"miR172"
"AT2G39250.1"	"MELO3C011722"	"ethylene-responsive transcription factor RAP2-7"	"miR172"
"AT2G39250.1"	"MELO3C011722"	"ethylene-responsive transcription factor RAP2-7"	"miR172"
"AT2G47460.1"	"MELO3C017925"	"myb-related protein 308-like"	"miR858"
"AT2G47460.1"	"MELO3C006700"	"Myb transcription factor"	"miR858"
"AT2G47940.1"	"MELO3C015895"	"Protease Do-like 2"	"miR1886.1"
"AT3G11440.1"	"MELO3C019923"	"transcription factor GAMYB"	"miR159"
"AT3G11440.1"	"MELO3C019923"	"transcription factor GAMYB"	"miR159"
"AT3G11440.1"	"MELO3C019923"	"transcription factor GAMYB"	"miR159"
"AT3G12977.1"	"MELO3C010555"	"NAC domain-containing protein"	"miR164"
"AT3G12977.1"	"MELO3C010555"	"NAC domain-containing protein"	"miR164"
"AT3G14110.3"	"MELO3C022680"	"protein FLUORESCENT IN BLUE LIGHT, chloroplastic isoform X1"	"miR396"
"AT3G15030.1"	"MELO3C016092"	"Transcription factor TCP4"	"miR319"
"AT3G15030.1"	"MELO3C016092"	"Transcription factor TCP4"	"miR319"
"AT3G15170.1"	"MELO3C025611"	"protein CUP-SHAPED COTYLEDON 2-like"	"miR164"
"AT3G15170.1"	"MELO3C025611"	"protein CUP-SHAPED COTYLEDON 2-like"	"miR164"
"AT3G20910.1"	"MELO3C014590"	"Nuclear transcription factor Y subunit"	"miR169"
"AT3G20910.1"	"MELO3C014590"	"Nuclear transcription factor Y subunit"	"miR169"
"AT3G24660.1"	"MELO3C020998"	"Protein kinase domain-containing protein"	"miR390"
"AT3G26810.1"	"MELO3C014799"	"protein AUXIN SIGNALING F-BOX 2-like"	"miR393"
"AT3G52910.1"	"MELO3C009444"	"Growth-regulating factor"	"miR396"
"AT3G52910.1"	"MELO3C009444"	"Growth-regulating factor"	"miR396"
"AT3G54990.1"	"MELO3C011722"	"ethylene-responsive transcription factor RAP2-7"	"miR172"
"AT3G54990.1"	"MELO3C011722"	"ethylene-responsive transcription factor RAP2-7"	"miR172"
"AT3G54990.1"	"MELO3C011722"	"ethylene-responsive transcription factor RAP2-7"	"miR172"
"AT3G56190.1"	"MELO3C019988"	"alpha-soluble NSF attachment protein 2"	"miR5663"
"AT3G57870.1"	"MELO3C024782"	"SUMO-conjugating enzyme SCE1"	"miR397"
"AT3G61250.1"	"MELO3C006120"	"transcription factor MYB41"	"miR858"
"AT3G62980.1"	"MELO3C015898"	"protein TRANSPORT INHIBITOR RESPONSE 1"	"miR393"
"AT3G62980.1"	"MELO3C033147"	"protein TRANSPORT INHIBITOR RESPONSE 1"	"miR393"
"AT4G00150.1"	"MELO3C021146"	"Scarecrow-like protein 6"	"miR171"
"AT4G00150.1"	"MELO3C021146"	"Scarecrow-like protein 6"	"miR171"
"AT4G00150.1"	"MELO3C021146"	"Scarecrow-like protein 6"	"miR170"
"AT4G21400.1"	"MELO3C007360"	"Cysteine-rich receptor-like protein kinase 10"	"miR866"
"AT4G21400.1"	"MELO3C007367"	"Cysteine-rich receptor-like protein kinase 10"	"miR866"
"AT4G21400.1"	"MELO3C033031"	"cysteine-rich receptor-like protein kinase 29"	"miR866"
"AT4G21400.1"	"MELO3C007362"	"cysteine-rich receptor-like protein kinase 29"	"miR866"
"AT4G21400.1"	"MELO3C002488"	"Cysteine-rich receptor-like protein kinase"	"miR866"
"AT4G21400.1"	"MELO3C007358"	"Cysteine-rich receptor-like protein kinase 10"	"miR866"
"AT4G21510.1"	"MELO3C007321"	"F-box protein"	"miR403"
"AT4G29900.1"	"MELO3C003950"	"Calcium-transporting ATPase"	"miR391"
"AT4G30080.1"	"MELO3C019801"	"Auxin response factor"	"miR160"
"AT4G36920.1"	"MELO3C020848"	"AP2-like ethylene-responsive transcription factor TOE3 isoform X1"	"miR172"
"AT4G36920.1"	"MELO3C020848"	"AP2-like ethylene-responsive transcription factor TOE3 isoform X1"	"miR172"
"AT4G36920.1"	"MELO3C020848"	"AP2-like ethylene-responsive transcription factor TOE3 isoform X1"	"miR172"
"AT4G36920.1"	"MELO3C007572"	"floral homeotic protein APETALA 2-like isoform X2"	"miR172"
"AT4G36920.1"	"MELO3C007572"	"floral homeotic protein APETALA 2-like isoform X2"	"miR172"
"AT4G36920.1"	"MELO3C007572"	"floral homeotic protein APETALA 2-like isoform X2"	"miR172"
"AT4G37740.1"	"MELO3C007656"	"Growth-regulating factor"	"miR396"
"AT4G37740.1"	"MELO3C007656"	"Growth-regulating factor"	"miR396"
"AT5G01370.1"	"MELO3C009159"	"VARLMGL domain-containing protein"	"miR396"
"AT5G01370.1"	"MELO3C009159"	"VARLMGL domain-containing protein"	"miR396"
"AT5G03795.1"	"MELO3C024503"	"Exostosin domain-containing protein"	"miR5641"
"AT5G06510.2"	"MELO3C009551"	"Nuclear transcription factor Y subunit"	"miR169"
"AT5G07680.1"	"MELO3C017185"	"NAC domain-containing protein"	"miR164"
"AT5G07680.1"	"MELO3C017185"	"NAC domain-containing protein"	"miR164"
"AT5G10180.1"	"MELO3C017580"	"Sulfate transporter, putative"	"miR395"
"AT5G10180.1"	"MELO3C017580"	"Sulfate transporter, putative"	"miR395"
"AT5G12840.3"	"MELO3C015196"	"Nuclear transcription factor Y subunit"	"miR169"
"AT5G12840.3"	"MELO3C015196"	"Nuclear transcription factor Y subunit"	"miR169"
"AT5G14550.1"	"MELO3C021569"	"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"	"miR398"
"AT5G14550.1"	"MELO3C021569"	"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"	"miR398"
"AT5G26030.1"	"MELO3C010762"	"Ferrochelatase"	"miR860"
"AT5G39610.1"	"MELO3C009855"	"NAC domain-containing protein"	"miR164"
"AT5G39610.1"	"MELO3C009855"	"NAC domain-containing protein"	"miR164"
"AT5G39610.1"	"MELO3C022002"	"NAC domain-containing protein"	"miR164"
"AT5G39610.1"	"MELO3C022002"	"NAC domain-containing protein"	"miR164"
"AT5G43060.1"	"MELO3C016781"	"low-temperature-induced cysteine proteinase-like"	"miR396"
"AT5G43060.1"	"MELO3C016781"	"low-temperature-induced cysteine proteinase-like"	"miR396"
"AT5G43780.1"	"MELO3C014280"	"Sulfate adenylyltransferase"	"miR395"
"AT5G43780.1"	"MELO3C014280"	"Sulfate adenylyltransferase"	"miR395"
"AT5G43780.1"	"MELO3C006493"	"Sulfate adenylyltransferase"	"miR395"
"AT5G43780.1"	"MELO3C006493"	"Sulfate adenylyltransferase"	"miR395"
"AT5G46170.1"	"MELO3C007122"	"F-box protein At5g46170-like"	"miR835"
"AT5G46170.1"	"MELO3C002753"	"F-box protein"	"miR835"
"AT5G52060.1"	"MELO3C005368"	"BAG family molecular chaperone regulator 3"	"miR5022"
"AT5G52060.1"	"MELO3C006875"	"BAG family molecular chaperone regulator 1-like"	"miR5022"
"AT5G53950.1"	"MELO3C025611"	"protein CUP-SHAPED COTYLEDON 2-like"	"miR164"
